#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.002303,1, 3,4,111,364,65,0,372.546,367.286,0,3.8e-05,0,0,0.000719282,0.000368,0,0.0005621,6.4471e-05,BAS,./data/random-64-64-10/random-64-64-10.map
20,0.008847,1, 14,24,566,1947,482,0,856.389,813.486,0,0.000735,0,0,0.00305057,0.006021,0,0.00232919,0.000330163,BAS,./data/random-64-64-10/random-64-64-10.map
30,0.010125,1, 27,50,1463,5298,1579,0,1308.18,1167.07,0,0.00161,0,0,0.00384394,0.008348,0,0.0023371,0.000685499,BAS,./data/random-64-64-10/random-64-64-10.map
40,0.030604,1, 32,61,2268,8367,2731,0,1734.73,1580.08,0,0.004202,0,0,0.0142264,0.026041,0,0.00904834,0.00308454,BAS,./data/random-64-64-10/random-64-64-10.map
50,0.09584,1, 44,86,5964,24070,11359,0,2347.55,2099.11,0,0.006266,0,0,0.0473526,0.088501,0,0.0270544,0.00971928,BAS,./data/random-64-64-10/random-64-64-10.map
60,0.122165,1, 52,101,5074,25390,13807,0,2867.19,2537.98,0,0.006332,0,0,0.0526916,0.111466,0,0.0280095,0.0130763,BAS,./data/random-64-64-10/random-64-64-10.map
70,0.214874,1, 69,135,9927,55085,33446,0,3578.66,3036.21,0,0.013715,0,0,0.0956736,0.203024,0,0.0456067,0.0245208,BAS,./data/random-64-64-10/random-64-64-10.map
80,0.311286,1, 97,191,25390,138583,89906,0,4181.87,3477.76,0,0.022718,0,0,0.178735,0.299529,0,0.0674338,0.0504874,BAS,./data/random-64-64-10/random-64-64-10.map
90,0.774098,1, 115,222,28061,153941,96420,0,4880.71,3929.7,0,0.028961,0,0,0.395972,0.753661,0,0.19271,0.0925613,BAS,./data/random-64-64-10/random-64-64-10.map
100,0.976226,1, 116,229,35763,208250,143314,0,5406.59,4411.81,0,0.032822,0,0,0.48746,0.953134,0,0.202096,0.101757,BAS,./data/random-64-64-10/random-64-64-10.map
110,0.548358,1, 125,247,33174,186202,121232,0,5888.44,4703.93,0,0.024184,0,0,0.285042,0.530016,0,0.139735,0.0639641,BAS,./data/random-64-64-10/random-64-64-10.map
120,0.991588,1, 137,272,48251,312487,221205,0,6418.5,5122.93,0,0.039337,0,0,0.56259,0.964274,0,0.233899,0.135808,BAS,./data/random-64-64-10/random-64-64-10.map
130,1.79033,1, 164,321,74229,447078,307412,0,7184.03,5520.73,0,0.047287,0,0,0.923395,1.75695,0,0.43387,0.17908,BAS,./data/random-64-64-10/random-64-64-10.map
140,1.28433,1, 182,356,103780,748261,567270,0,7840.92,5949.53,0,0.047661,0,0,0.84575,1.2581,0,0.284059,0.229936,BAS,./data/random-64-64-10/random-64-64-10.map
150,6.95694,1, 200,384,174311,1352798,1047272,0,8604.8,6377.24,0,0.101272,0,0,3.89466,6.91166,0,1.52866,0.710571,BAS,./data/random-64-64-10/random-64-64-10.map
160,9.27425,1, 191,376,125012,956977,742048,0,9200.65,6757.93,0,0.112322,0,0,5.76149,9.20941,0,1.97871,0.978736,BAS,./data/random-64-64-10/random-64-64-10.map
170,2.66564,1, 213,419,116446,702872,480010,0,9758.53,7204.98,0,0.084501,0,0,1.13951,2.61121,0,0.55836,0.258568,BAS,./data/random-64-64-10/random-64-64-10.map
180,4.97177,1, 229,448,222227,1952811,1585181,0,10619.7,7651.25,0,0.072942,0,0,3.12764,4.91857,0,1.1514,0.714109,BAS,./data/random-64-64-10/random-64-64-10.map
190,8.47473,1, 231,455,172539,1334620,1038423,0,11362.5,8085.33,0,0.129126,0,0,4.58815,8.39801,0,1.80105,0.747827,BAS,./data/random-64-64-10/random-64-64-10.map
200,300.134,0, 3495,3729,0,0,57219169,0,-2,8521.62,0,2.20397,0,0,170.87,299.711,0,67.3431,32.4259,BAS,./data/random-64-64-10/random-64-64-10.map
210,14.497,1, 256,504,252214,1995020,1576506,0,12856.3,8915.4,0,0.152634,0,0,8.96914,14.3833,0,3.00319,1.4903,BAS,./data/random-64-64-10/random-64-64-10.map
220,10.0257,1, 297,583,466753,3672415,2915553,0,13466.3,9259.66,0,0.154376,0,0,5.98016,9.939,0,2.14677,1.32149,BAS,./data/random-64-64-10/random-64-64-10.map
230,11.5357,1, 282,555,363153,3048525,2461199,0,14342.1,9711.3,0,0.152761,0,0,6.78817,11.4426,0,2.38618,1.19919,BAS,./data/random-64-64-10/random-64-64-10.map
240,30.7783,1, 315,611,578180,4667181,3733696,0,15054.2,10054,0,0.312149,0,0,17.7152,30.6343,0,6.36058,2.81981,BAS,./data/random-64-64-10/random-64-64-10.map
250,12.1007,1, 326,623,614347,4803633,3758188,0,15887.6,10443.7,0,0.232648,0,0,6.88193,12.015,0,2.50462,1.686,BAS,./data/random-64-64-10/random-64-64-10.map
260,300.035,0, 1045,1359,0,0,56756714,0,-2,10987.2,0,2.33186,0,0,176.262,299.746,0,65.3444,31.2076,BAS,./data/random-64-64-10/random-64-64-10.map
270,300.182,0, 1370,1711,0,0,64931731,0,-2,11441.3,0,2.4069,0,0,198.918,299.806,0,62.6108,35.3824,BAS,./data/random-64-64-10/random-64-64-10.map
280,300.559,0, 1370,1692,0,0,45374175,0,-2,11928.2,0,3.36274,0,0,145.614,300.117,0,68.7902,27.8447,BAS,./data/random-64-64-10/random-64-64-10.map
