#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.004321,1, 6,9,250,851,223,0,582.027,561.324,0,0.00021,0,0,0.00164243,0.002266,0,0.00128572,0.000162444,BAS,./data/room-64-64-16/room-64-64-16.map
20,0.069971,1, 18,33,3512,31912,24776,0,1511.23,1316.95,0,0.002275,0,0,0.0562454,0.065077,0,0.0169782,0.0141281,BAS,./data/room-64-64-16/room-64-64-16.map
30,0.191688,1, 36,69,14317,78771,50442,0,2622.77,2197.13,0,0.007065,0,0,0.128698,0.183991,0,0.0626532,0.0280488,BAS,./data/room-64-64-16/room-64-64-16.map
40,1.4753,1, 50,97,48861,394159,300272,0,3748.6,3000.21,0,0.012248,0,0,1.04525,1.46319,0,0.443372,0.195177,BAS,./data/room-64-64-16/room-64-64-16.map
50,2.41406,1, 57,111,66317,592948,476709,0,4527.9,3591.93,0,0.017926,0,0,1.78922,2.40099,0,0.484162,0.322048,BAS,./data/room-64-64-16/room-64-64-16.map
60,2.90944,1, 71,140,113169,891544,695168,0,5256.06,4005.14,0,0.033769,0,0,2.0841,2.89328,0,0.742458,0.486751,BAS,./data/room-64-64-16/room-64-64-16.map
70,3.87626,1, 83,163,143610,1318566,1078571,0,6407.68,4558.84,0,0.026722,0,0,2.8364,3.86132,0,0.870483,0.520751,BAS,./data/room-64-64-16/room-64-64-16.map
80,301.722,0, 698,790,0,0,82526324,0,-2,5303.47,0,0.544881,0,0,245.137,301.669,0,60.8923,41.5309,BAS,./data/room-64-64-16/room-64-64-16.map
90,300.683,0, 1041,1088,0,0,117859584,0,-2,5950.01,0,0.25067,0,0,258.286,300.601,0,52.625,54.7805,BAS,./data/room-64-64-16/room-64-64-16.map
100,301.248,0, 623,701,0,0,101555720,0,-2,6827.79,0,0.276211,0,0,259.97,301.172,0,57.7385,45.7492,BAS,./data/room-64-64-16/room-64-64-16.map
110,300.016,0, 484,581,0,0,94925340,0,-2,7378.52,0,0.315557,0,0,251.474,299.937,0,60.6731,42.9324,BAS,./data/room-64-64-16/room-64-64-16.map
120,300.817,0, 412,535,0,0,108493136,0,-2,8026.99,0,0.186944,0,0,267.948,300.75,0,52.8883,47.7583,BAS,./data/room-64-64-16/room-64-64-16.map
130,301.347,0, 336,471,0,0,96038290,0,-2,8807.19,0,0.297854,0,0,264.9,301.278,0,52.825,45.7842,BAS,./data/room-64-64-16/room-64-64-16.map
140,303.954,0, 286,420,0,0,81999247,0,-2,9661.55,0,0.263919,0,0,268.377,303.885,0,57.1843,44.1794,BAS,./data/room-64-64-16/room-64-64-16.map
150,300.008,0, 302,443,0,0,99273577,0,-2,10320,0,0.325124,0,0,260.598,299.929,0,53.5496,45.9855,BAS,./data/room-64-64-16/room-64-64-16.map
160,300.389,0, 418,550,0,0,78976520,0,-2,10934.6,0,0.222237,0,0,263.355,300.296,0,53.0933,43.3436,BAS,./data/room-64-64-16/room-64-64-16.map
