#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.01787,1, 3,4,735,1625,528,0,540.323,513.066,0,0.000238,0,0,0.00849124,0.010612,0,0.00583463,0.00146166,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
20,0.120725,1, 7,12,6371,49815,39436,0,1126.14,1063.92,0,0.000808,0,0,0.0898123,0.117104,0,0.027397,0.0184545,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
30,0.477216,1, 15,28,9070,71737,57434,0,1723.86,1616.54,0,0.003403,0,0,0.361533,0.466646,0,0.107825,0.043691,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
40,0.921308,1, 32,62,27728,267307,227153,0,2686.8,2311.95,0,0.009506,0,0,0.833923,0.909778,0,0.180823,0.13632,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
50,1.59102,1, 48,94,53284,527454,451699,0,3663.08,3003.73,0,0.018109,0,0,1.44283,1.58012,0,0.420414,0.323577,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
60,14.0219,1, 69,134,84180,1481533,1369747,0,4323.5,3569.98,0,0.050454,0,0,15.0838,13.985,0,2.56318,1.93052,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
70,10.5549,1, 69,134,59913,946997,859038,0,5199.27,4284.76,0,0.054524,0,0,9.12099,10.522,0,2.41973,0.896269,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
80,24.0128,1, 88,172,128896,2153906,1967199,0,6163.32,4889.03,0,0.092646,0,0,20.6523,23.9558,0,4.89274,2.45395,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
90,300.272,0, 3661,3753,0,0,36141575,0,-2,5520.72,0,1.17902,0,0,210.82,300.028,0,70.4914,28.6202,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
100,29.1435,1, 126,237,200024,4327066,4054862,0,7888.97,5912.57,0,0.094913,0,0,26.2412,29.1027,0,4.01774,3.13326,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
110,38.7073,1, 133,261,239330,5608040,5262138,0,8430.22,6421.78,0,0.10986,0,0,33.8058,38.6366,0,5.44612,3.85308,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
120,81.2747,1, 130,253,328392,9191611,8737617,0,9452.42,6914.14,0,0.180246,0,0,71.9668,81.1783,0,11.8511,8.97539,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
130,66.2327,1, 207,398,476765,8650991,7982300,0,10145.9,7273.5,0,0.243475,0,0,54.5881,66.1635,0,11.0927,6.09751,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
140,300.906,0, 351,494,0,0,44791087,0,-2,7834.74,0,0.268128,0,0,283.652,300.793,0,34.6411,37.2143,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
150,301.253,0, 738,874,0,0,73212463,0,-2,8274.34,0,0.287964,0,0,271.354,301.143,0,40.2972,53.735,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
160,300.872,0, 303,481,0,0,39788796,0,-2,8731.36,0,0.932191,0,0,249.239,300.621,0,52.0017,37.2394,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
170,300.002,0, 290,468,0,0,41187945,0,-2,9201.97,0,0.350708,0,0,272.759,299.913,0,36.9087,43.7576,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
180,304.61,0, 514,694,0,0,55769070,0,-2,9739.03,0,0.611933,0,0,259.538,304.482,0,46.3173,43.6227,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
190,304,0, 447,665,0,0,53172120,0,-2,10255.7,0,0.650503,0,0,267.819,303.848,0,42.5965,45.0163,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
200,301.49,0, 3682,3848,0,0,128787041,0,-2,10762,0,1.31775,0,0,276.473,301.333,0,31.7667,87.1557,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
