#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.007991,1, 4,6,1094,4419,2431,0,346.03,328.118,0,5.9e-05,0,0,0.00577727,0.006835,0,0.00282437,0.00134273,BAS,./data/den312d/den312d.map
20,0.010182,1, 16,30,1107,4076,1266,0,910.084,810.654,0,0.001237,0,0,0.00449732,0.008334,0,0.00242698,0.00101708,BAS,./data/den312d/den312d.map
30,0.077502,1, 30,58,8904,70866,54826,0,1538.29,1280.72,0,0.002242,0,0,0.0631327,0.073971,0,0.0189641,0.0197726,BAS,./data/den312d/den312d.map
40,0.180508,1, 44,85,21886,151016,111330,0,2154.72,1710.67,0,0.004702,0,0,0.146743,0.175293,0,0.0496857,0.0407911,BAS,./data/den312d/den312d.map
50,0.234969,1, 56,110,24407,195923,150842,0,2714.45,2094.38,0,0.005292,0,0,0.18675,0.228305,0,0.0622425,0.0560329,BAS,./data/den312d/den312d.map
60,0.655811,1, 71,140,55343,599187,507441,0,3562.1,2646.14,0,0.00839,0,0,0.581746,0.650307,0,0.120695,0.205709,BAS,./data/den312d/den312d.map
70,0.464355,1, 76,150,50129,382888,286603,0,4179.08,3100.23,0,0.013001,0,0,0.362827,0.454113,0,0.131252,0.105547,BAS,./data/den312d/den312d.map
80,2.10335,1, 97,192,137457,1872786,1641557,0,5130.49,3583.4,0,0.017197,0,0,1.88837,2.09031,0,0.387325,0.702143,BAS,./data/den312d/den312d.map
90,2.30902,1, 109,216,181372,2405165,2103210,0,6063.31,4125.71,0,0.017727,0,0,2.0804,2.29941,0,0.435685,0.712417,BAS,./data/den312d/den312d.map
100,7.31897,1, 124,245,448709,7228728,6566885,0,7463.26,4630.37,0,0.027274,0,0,6.831,7.30536,0,1.13265,2.48595,BAS,./data/den312d/den312d.map
110,7.35496,1, 164,320,498967,7193630,6420441,0,8074.04,4931.35,0,0.032469,0,0,6.73283,7.34111,0,1.25087,2.35579,BAS,./data/den312d/den312d.map
120,9.99809,1, 157,307,541753,9580978,8784938,0,8939.91,5436.59,0,0.032512,0,0,9.36376,9.98177,0,1.41026,3.39079,BAS,./data/den312d/den312d.map
130,41.3994,1, 174,334,1762892,37824737,35334202,0,10496.7,5931.03,0,0.057826,0,0,39.4043,41.3773,0,5.47636,14.4202,BAS,./data/den312d/den312d.map
140,88.4995,1, 211,406,2869637,69631940,65803371,0,11849.3,6252.93,0,0.085508,0,0,85.2325,88.4793,0,9.77033,32.7246,BAS,./data/den312d/den312d.map
150,30.7058,1, 201,383,2034192,30245626,27508731,0,13549.4,6754.75,0,0.078644,0,0,28.7246,30.6847,0,4.71535,10.4349,BAS,./data/den312d/den312d.map
160,301.179,0, 393,589,0,0,234293181,0,-2,7311.38,0,0.421856,0,0,281.558,301.145,0,44.6022,98.7541,BAS,./data/den312d/den312d.map
170,97.7377,1, 277,492,5723180,89512330,82010503,0,15845.6,7681.97,0,0.167255,0,0,90.3282,97.7055,0,15.6109,31.0685,BAS,./data/den312d/den312d.map
180,305.072,0, 361,565,0,0,234719083,0,-2,8088.34,0,0.380491,0,0,285.577,305.019,0,45.5712,97.6833,BAS,./data/den312d/den312d.map
190,307.687,0, 738,950,0,0,258018967,0,-2,8643.67,0,0.463569,0,0,286.12,307.619,0,47.3724,100.247,BAS,./data/den312d/den312d.map
