#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.002032,1, 5,8,108,440,106,0,245.11,237.949,0,4.8e-05,0,0,0.00108676,0.001036,0,0.000875165,9.3371e-05,BAS,./data/empty-32-32/empty-32-32.map
20,0.009301,1, 17,31,646,2510,863,0,523.614,459.707,0,0.000354,0,0,0.00519426,0.007839,0,0.00377754,0.000757718,BAS,./data/empty-32-32/empty-32-32.map
30,0.054309,1, 28,53,1884,6675,2431,0,801.892,705.329,0,0.001752,0,0,0.032083,0.048087,0,0.0204586,0.00570369,BAS,./data/empty-32-32/empty-32-32.map
40,0.043292,1, 38,72,2417,8450,3005,0,1067.02,905.127,0,0.001726,0,0,0.0423523,0.039299,0,0.0167863,0.0229062,BAS,./data/empty-32-32/empty-32-32.map
50,0.150669,1, 57,107,3496,16439,8481,0,1393.16,1130.11,0,0.005507,0,0,0.0777499,0.140125,0,0.0473425,0.0138375,BAS,./data/empty-32-32/empty-32-32.map
60,0.195954,1, 73,141,8705,36876,18557,0,1771.37,1326.88,0,0.00573,0,0,0.139913,0.183348,0,0.101359,0.0213101,BAS,./data/empty-32-32/empty-32-32.map
70,0.177462,1, 92,179,9579,40269,19686,0,2049.53,1542.38,0,0.00704,0,0,0.0967287,0.169873,0,0.0608461,0.0203715,BAS,./data/empty-32-32/empty-32-32.map
80,0.178499,1, 106,205,16657,81809,47255,0,2416.48,1730.22,0,0.008063,0,0,0.100697,0.171513,0,0.0556986,0.0222092,BAS,./data/empty-32-32/empty-32-32.map
90,0.611234,1, 121,231,25631,155121,104526,0,2835.37,1931.65,0,0.011194,0,0,0.497365,0.600352,0,0.215135,0.0830767,BAS,./data/empty-32-32/empty-32-32.map
100,300.048,0, 7327,7433,0,0,41005028,0,-2,2161.88,0,3.21277,0,0,151.316,299.456,0,84.8216,26.1412,BAS,./data/empty-32-32/empty-32-32.map
110,0.797436,1, 157,285,56833,383343,262540,0,3587.42,2401.98,0,0.014299,0,0,0.487984,0.781613,0,0.24585,0.123206,BAS,./data/empty-32-32/empty-32-32.map
120,10.0565,1, 1671,1819,1204117,8468422,6104341,0,4043.07,2643.02,0,0.138069,0,0,6.9828,10.0073,0,2.42694,2.10019,BAS,./data/empty-32-32/empty-32-32.map
130,300.014,0, 17604,17750,0,0,75434970,0,-2,2862.15,0,1.88949,0,0,155.418,298.774,0,71.5182,43.8344,BAS,./data/empty-32-32/empty-32-32.map
140,300.001,0, 19905,20043,0,0,58073749,0,-2,3056.94,0,1.13563,0,0,155.188,297.481,0,74.3692,35.1297,BAS,./data/empty-32-32/empty-32-32.map
