#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.01697,1, 4,5,3546,17901,13932,0,530.302,496.927,0,4.7e-05,0,0,0.0162899,0.016086,0,0.00445924,0.00539061,BAS,./data/maze-32-32-4/maze-32-32-4.map
20,0.104625,1, 19,34,21676,116091,89288,0,1549.68,1108.74,0,0.000956,0,0,0.091204,0.102455,0,0.0213766,0.0320191,BAS,./data/maze-32-32-4/maze-32-32-4.map
30,0.792914,1, 39,73,33783,218074,170606,0,2275.12,1701.59,0,0.006871,0,0,0.581888,0.785418,0,0.164674,0.176728,BAS,./data/maze-32-32-4/maze-32-32-4.map
40,0.7079,1, 46,88,59998,369751,290755,0,3676.8,2277.98,0,0.005624,0,0,0.545382,0.702142,0,0.157069,0.17424,BAS,./data/maze-32-32-4/maze-32-32-4.map
50,1.52238,1, 67,127,118379,699086,546165,0,4885.87,2819.44,0,0.010829,0,0,1.06857,1.51145,0,0.364776,0.324458,BAS,./data/maze-32-32-4/maze-32-32-4.map
60,300.001,0, 3670,3711,0,0,97251028,0,-2,3312.93,0,1.14612,0,0,205.368,299.664,0,75.8262,59.8974,BAS,./data/maze-32-32-4/maze-32-32-4.map
70,300.052,0, 8125,8180,0,0,142436830,0,-2,3794.31,0,0.875563,0,0,215.507,299.519,0,65.6498,63.9477,BAS,./data/maze-32-32-4/maze-32-32-4.map
80,300.001,0, 4027,4094,0,0,113646864,0,-2,4427.92,0,1.47472,0,0,206.636,299.556,0,69.7353,56.6938,BAS,./data/maze-32-32-4/maze-32-32-4.map
