  Robot ID  Current Position X  Current Position Y       Current Angle        Queue Length       Left Velocity      Right Velocity               Count            Sim Time
      91_1             98.4866             1.99945             269.938                   1             46.7245              46.725                 200                  20
      91_1             102.985             2.45991             180.368                   1             118.222             118.129                 400                  40
      91_1                 103             13.7941             180.001                   2             114.454             114.453                 600                  60
      91_1             100.662             17.9869             90.3517                   1             116.957             116.844                 800                  80
      91_1             75.7332                  18                  90                   1             123.557             123.557                1000                 100
      91_1             68.0164             17.9269            0.586397                   3             56.6995             56.8851                1200                 120
      91_1             85.9884                  17             270.001                   1             111.118             111.118                1400                 140
      91_1             103.977                  17             324.192                   4               14.64              -14.64                1600                 160
      91_1             104.308             12.0153             270.505                   2             82.5358             82.5441                1800                 180
      91_1             106.002             9.01862             272.707                   4             1.40741            -1.40741                2000                 200
      91_1             103.712             6.00504             89.9031                   1             123.204              123.22                2200                 220
      91_1             78.7347                   6                  90                   1             123.581             123.581                2400                 240
      91_1             72.0231                   6                  90                   1             61.5364        5.07572e-310                2600                 260
      91_1             72.0231                   6             336.761                   2               14.64              -14.64                2800                 280
      91_1             82.9966             5.02763             292.795                   2             12.2443            -12.2443                3000                 300
      91_1             97.9891             5.50592             180.863                   5             45.7901             45.9412                3200                 320
      91_1             101.978             5.97386             359.409                   3             51.1549             50.9184                3400                 340
