#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.002003,1, 5,8,156,546,99,0,425.638,421.11,0,7.7e-05,0,0,0.000788449,0.000621,0,0.000636906,6.2338e-05,BAS,./data/random-64-64-10/random-64-64-10.map
20,0.009088,1, 9,16,1170,3889,1390,0,895.471,846.871,0,0.00046,0,0,0.00515178,0.006489,0,0.00320971,0.00106087,BAS,./data/random-64-64-10/random-64-64-10.map
30,0.015563,1, 23,44,1768,6115,1990,0,1352.19,1250.91,0,0.001972,0,0,0.00694538,0.012752,0,0.00408414,0.00132969,BAS,./data/random-64-64-10/random-64-64-10.map
40,0.026904,1, 36,70,4342,18092,8454,0,1899.75,1674.29,0,0.003106,0,0,0.0140584,0.024301,0,0.00622186,0.00359548,BAS,./data/random-64-64-10/random-64-64-10.map
50,0.276356,1, 47,92,14162,66039,41580,0,2462.94,2118.01,0,0.008087,0,0,0.184022,0.268492,0,0.0735052,0.0479484,BAS,./data/random-64-64-10/random-64-64-10.map
60,0.838671,1, 65,128,42862,254098,186001,0,3280.6,2658.88,0,0.014305,0,0,0.566189,0.825558,0,0.210352,0.143373,BAS,./data/random-64-64-10/random-64-64-10.map
70,0.498933,1, 72,140,37683,205933,143326,0,3813.28,3019.74,0,0.014064,0,0,0.335051,0.487379,0,0.12672,0.0827559,BAS,./data/random-64-64-10/random-64-64-10.map
80,0.229683,1, 84,163,16448,95496,65866,0,4145.9,3472.43,0,0.013424,0,0,0.132254,0.218951,0,0.0504441,0.0343198,BAS,./data/random-64-64-10/random-64-64-10.map
90,0.539288,1, 93,182,18671,90269,54861,0,4706.45,3943.82,0,0.025238,0,0,0.311834,0.519779,0,0.128654,0.0661909,BAS,./data/random-64-64-10/random-64-64-10.map
100,1.2382,1, 117,229,54071,293756,193314,0,5387.14,4389.48,0,0.038036,0,0,0.662007,1.21298,0,0.320757,0.147576,BAS,./data/random-64-64-10/random-64-64-10.map
110,0.874004,1, 134,261,49001,262638,170614,0,5966.16,4802.73,0,0.035208,0,0,0.461829,0.851444,0,0.227007,0.102755,BAS,./data/random-64-64-10/random-64-64-10.map
120,2.00137,1, 128,251,75582,562544,427795,0,6632.35,5271.19,0,0.045963,0,0,1.34528,1.97753,0,0.458197,0.267434,BAS,./data/random-64-64-10/random-64-64-10.map
130,3.4088,1, 160,310,92499,572115,402456,0,7584.33,5764.69,0,0.065912,0,0,2.126,3.37336,0,0.826808,0.405504,BAS,./data/random-64-64-10/random-64-64-10.map
140,20.6146,1, 666,836,791616,6005309,4558219,0,8343.97,6251.44,0,0.286024,0,0,11.6437,20.5391,0,5.77869,2.35793,BAS,./data/random-64-64-10/random-64-64-10.map
150,7.10764,1, 198,379,197393,1504845,1168053,0,8853.07,6693.16,0,0.106426,0,0,4.27843,7.06631,0,1.50513,0.743421,BAS,./data/random-64-64-10/random-64-64-10.map
160,10.6737,1, 202,397,211831,1800125,1444314,0,9881.2,7129.3,0,0.113166,0,0,6.88895,10.619,0,2.33197,1.03236,BAS,./data/random-64-64-10/random-64-64-10.map
170,5.49047,1, 226,437,189977,1393610,1051946,0,10345.4,7631.5,0,0.117946,0,0,2.96271,5.43078,0,1.19519,0.648035,BAS,./data/random-64-64-10/random-64-64-10.map
180,300.903,0, 2898,3126,0,0,71022559,0,-2,8105.79,0,2.38947,0,0,178.43,300.53,0,73.2475,36.7589,BAS,./data/random-64-64-10/random-64-64-10.map
190,300.072,0, 8918,9097,0,0,52118622,0,-2,8570.04,0,1.26381,0,0,152.158,298.792,0,57.0288,33.2885,BAS,./data/random-64-64-10/random-64-64-10.map
200,60.2795,1, 2877,3122,1797062,12978922,9733273,0,12716.9,9000.57,0,0.652142,0,0,29.3179,59.9576,0,11.5932,7.23818,BAS,./data/random-64-64-10/random-64-64-10.map
210,24.5703,1, 272,531,390309,3186228,2521552,0,13579.4,9448.89,0,0.284618,0,0,14.2539,24.4578,0,5.07956,2.28553,BAS,./data/random-64-64-10/random-64-64-10.map
220,300.115,0, 4925,5164,0,0,53803877,0,-2,9974.65,0,2.58766,0,0,135.134,298.973,0,59.9588,26.4672,BAS,./data/random-64-64-10/random-64-64-10.map
230,11.2748,1, 301,584,377350,2733035,2058782,0,15085.8,10336.1,0,0.189266,0,0,5.72051,11.1637,0,2.5754,1.0635,BAS,./data/random-64-64-10/random-64-64-10.map
240,32.7532,1, 307,601,477492,3716772,2900406,0,16252.6,10753.9,0,0.383383,0,0,17.971,32.6192,0,6.65224,3.02887,BAS,./data/random-64-64-10/random-64-64-10.map
250,300.118,0, 3801,4067,0,0,60280080,0,-2,11206.7,0,2.75669,0,0,142.993,299.249,0,65.5317,29.0266,BAS,./data/random-64-64-10/random-64-64-10.map
260,300.39,0, 1467,1782,0,0,41670838,0,-2,11617.4,0,3.092,0,0,157.195,299.991,0,65.8758,29.1605,BAS,./data/random-64-64-10/random-64-64-10.map
270,301.64,0, 948,1273,0,0,46555023,0,-2,12057.5,0,2.91618,0,0,161.886,301.373,0,72.1829,29.6348,BAS,./data/random-64-64-10/random-64-64-10.map
280,300.01,0, 4715,5000,0,0,63770457,0,-2,12437.7,0,1.34363,0,0,171.975,298.841,0,55.6168,32.5773,BAS,./data/random-64-64-10/random-64-64-10.map
