  Robot ID  Current Position X  Current Position Y       Current Angle        Queue Length       Left Velocity      Right Velocity               Count            Sim Time
     45_14                  45                  14                   0                   0                   0                   0                 200                  20
     45_14                  45                  14                   0                   0                   0                   0                 400                  40
     45_14                  45                  14                   0                   0                   0                   0                 600                  60
     45_14                  45                  14                   0                   0                   0                   0                 800                  80
     45_14                  45                  14                   0                   0                   0                   0                1000                 100
     45_14                  45                  14                   0                   0                   0                   0                1200                 120
     45_14                  45                  14                   0                   0                   0                   0                1400                 140
     45_14                  45                  14                   0                   0                   0                   0                1600                 160
     45_14                  45                  14                   0                   0                   0                   0                1800                 180
     45_14                  45                  14                   0                   0                   0                   0                2000                 200
     45_14                  45                  14                   0                   0                   0                   0                2200                 220
     45_14                  45                  14                   0                   0                   0                   0                2400                 240
     45_14                  45                  14                   0                   0                   0                   0                2600                 260
     45_14                  45                  14                   0                   0                   0                   0                2800                 280
     45_14                  45                  14                   0                   0                   0                   0                3000                 300
     45_14                  45                  14                   0                   0                   0                   0                3200                 320
     45_14                  45                  14                   0                   0                   0                   0                3400                 340
     45_14                  45                  14                   0                   0                   0                   0                3600                 360
     45_14                  45                  14                   0                   0                   0                   0                3800                 380
     45_14                  45                  14                   0                   0                   0                   0                4000                 400
     45_14                  45                  14                   0                   0                   0                   0                4200                 420
     45_14                  45                  14                   0                   0                   0                   0                4400                 440
     45_14                  45                  14                   0                   0                   0                   0                4600                 460
     45_14                  45                  14                   0                   0                   0                   0                4800                 480
     45_14                  45                  14                   0                   0                   0                   0                5000                 500
     45_14                  45                  14                   0                   0                   0                   0                5200                 520
     45_14                  45                  14                   0                   0                   0                   0                5400                 540
     45_14                  45                  14                   0                   0                   0                   0                5600                 560
     45_14                  45                  14                   0                   0                   0                   0                5800                 580
     45_14                  45                  14                   0                   0                   0                   0                6000                 600
     45_14                  45                  14                   0                   0                   0                   0                6200                 620
     45_14                  45                  14                   0                   0                   0                   0                6400                 640
     45_14                  45                  14                   0                   0                   0                   0                6600                 660
     45_14                  45                  14                   0                   0                   0                   0                6800                 680
     45_14                  45                  14                   0                   0                   0                   0                7000                 700
     45_14                  45                  14                   0                   0                   0                   0                7200                 720
     45_14                  45                  14                   0                   0                   0                   0                7400                 740
     45_14                  45                  14                   0                   0                   0                   0                7600                 760
     45_14                  45                  14                   0                   0                   0                   0                7800                 780
     45_14                  45                  14                   0                   0                   0                   0                8000                 800
     45_14                  45                  14                   0                   0                   0                   0                8200                 820
     45_14                  45                  14                   0                   0                   0                   0                8400                 840
     45_14                  45                  14                   0                   0                   0                   0                8600                 860
     45_14                  45                  14                   0                   0                   0                   0                8800                 880
     45_14                  45                  14                   0                   0                   0                   0                9000                 900
     45_14                  45                  14                   0                   0                   0                   0                9200                 920
     45_14                  45                  14                   0                   0                   0                   0                9400                 940
     45_14                  45                  14                   0                   0                   0                   0                9600                 960
     45_14                  45                  14                   0                   0                   0                   0                9800                 980
     45_14                  45                  14                   0                   0                   0                   0               10000                1000
     45_14                  45                  14                   0                   0                   0                   0               10200                1020
     45_14                  45                  14                   0                   0                   0                   0               10400                1040
     45_14                  45                  14                   0                   0                   0                   0               10600                1060
     45_14                  45                  14                   0                   0                   0                   0               10800                1080
     45_14                  45                  14                   0                   0                   0                   0               11000                1100
     45_14                  45                  14                   0                   0                   0                   0               11200                1120
     45_14                  45                  14                   0                   0                   0                   0               11400                1140
     45_14                  45                  14                   0                   0                   0                   0               11600                1160
     45_14                  45                  14                   0                   0                   0                   0               11800                1180
     45_14                  45                  14                   0                   0                   0                   0               12000                1200
     45_14                  45                  14                   0                   0                   0                   0               12200                1220
     45_14                  45                  14                   0                   0                   0                   0               12400                1240
     45_14                  45                  14                   0                   0                   0                   0               12600                1260
     45_14                  45                  14                   0                   0                   0                   0               12800                1280
     45_14                  45                  14                   0                   0                   0                   0               13000                1300
     45_14                  45                  14                   0                   0                   0                   0               13200                1320
     45_14                  45                  14                   0                   0                   0                   0               13400                1340
     45_14                  45                  14                   0                   0                   0                   0               13600                1360
     45_14                  45                  14                   0                   0                   0                   0               13800                1380
     45_14                  45                  14                   0                   0                   0                   0               14000                1400
     45_14                  45                  14                   0                   0                   0                   0               14200                1420
     45_14                  45                  14                   0                   0                   0                   0               14400                1440
     45_14                  45                  14                   0                   0                   0                   0               14600                1460
     45_14                  45                  14                   0                   0                   0                   0               14800                1480
     45_14                  45                  14                   0                   0                   0                   0               15000                1500
     45_14                  45                  14                   0                   0                   0                   0               15200                1520
     45_14                  45                  14                   0                   0                   0                   0               15400                1540
     45_14                  45                  14                   0                   0                   0                   0               15600                1560
     45_14                  45                  14                   0                   0                   0                   0               15800                1580
     45_14                  45                  14                   0                   0                   0                   0               16000                1600
     45_14                  45                  14                   0                   0                   0                   0               16200                1620
